"DisplayName","UPN","Enabled","MFAMethodCount","HasMFA","LastSignIn","DaysSinceSignIn","CreatedDate"
"Adele Vance","AdeleV@******.onmicrosoft.com","True","2","True","27.2.2026 7:53:37 PM","120","27.2.2026 7:52:08 PM"
"Alex Wilber","AlexW@******.onmicrosoft.com","True","2","True","27.2.2026 7:53:46 PM","120","27.2.2026 7:52:10 PM"
"Diego Siciliani","DiegoS@******.onmicrosoft.com","True","2","True","27.2.2026 7:53:51 PM","120","27.2.2026 7:52:11 PM"
"Grady Archie","GradyA@******.onmicrosoft.com","True","2","True","27.2.2026 7:53:59 PM","120","27.2.2026 7:52:13 PM"
"Henrietta Mueller","HenriettaM@******.onmicrosoft.com","True","2","True","27.2.2026 7:54:24 PM","120","27.2.2026 7:52:14 PM"
"Isaiah Langer","IsaiahL@******.onmicrosoft.com","True","2","True","27.2.2026 7:54:39 PM","120","27.2.2026 7:52:15 PM"
"Johanna Lorenz","JohannaL@******.onmicrosoft.com","True","2","True","27.2.2026 7:54:46 PM","120","27.2.2026 7:52:17 PM"
"Joni Sherman","JoniS@******.onmicrosoft.com","True","2","True","27.2.2026 7:54:54 PM","120","27.2.2026 7:52:18 PM"
"Lee Gu","LeeG@******.onmicrosoft.com","True","2","True","27.2.2026 7:52:35 PM","120","27.2.2026 7:52:03 PM"
"Lidia Holloway","LidiaH@******.onmicrosoft.com","True","2","True","27.2.2026 7:54:59 PM","120","27.2.2026 7:52:19 PM"
"Lynne Robbins","LynneR@******.onmicrosoft.com","True","2","True","27.2.2026 7:55:08 PM","120","27.2.2026 7:52:21 PM"
"Megan Bowen","MeganB@******.onmicrosoft.com","True","2","True","27.2.2026 7:55:13 PM","120","27.2.2026 7:52:21 PM"
"Miriam Graham","MiriamG@******.onmicrosoft.com","True","2","True","27.2.2026 7:53:01 PM","120","27.2.2026 7:52:04 PM"
"Nestor Wilke","NestorW@******.onmicrosoft.com","True","2","True","27.2.2026 7:53:10 PM","120","27.2.2026 7:52:07 PM"
"Patti Fernandez","PattiF@******.onmicrosoft.com","True","2","True","27.2.2026 7:52:24 PM","120","27.2.2026 7:52:00 PM"
"Pradeep Gupta","PradeepG@******.onmicrosoft.com","True","2","True","27.2.2026 7:55:17 PM","120","27.2.2026 7:52:23 PM"
